SESSION_ID,Step,Feed_Flow_A,Reactor_Pressure,Reactor_Level,Reactor_Temp,Separator_Temp,Separator_Level,Stripper_Level,Stripper_Temp,Reactor_Coolant_Valve,Separator_Coolant_Valve,ALM_Feed_Flow_A_HI,ALM_Feed_Flow_A_LO,ALM_Reactor_Pressure_HI,ALM_Reactor_Pressure_LO,ALM_Reactor_Level_HI,ALM_Reactor_Level_LO,ALM_Reactor_Temp_HI,ALM_Reactor_Temp_LO,ALM_Separator_Temp_HI,ALM_Separator_Temp_LO,ALM_Separator_Level_HI,ALM_Separator_Level_LO,ALM_Stripper_Level_HI,ALM_Stripper_Level_LO,ALM_Stripper_Temp_HI,ALM_Stripper_Temp_LO,ALM_Reactor_Coolant_Valve_HI,ALM_Reactor_Coolant_Valve_LO,ALM_Separator_Coolant_Valve_HI,ALM_Separator_Coolant_Valve_LO,SYSTEM_GROUND_TRUTH_FAULT_ID,ALARM_FLOOD_ACTIVE
Disturbance_01,0,0.25025,2704.5,74.593,120.42,80.05,48.281,51.052,65.724,41.841,18.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disturbance_01,1,0.25135,2704.9,75.044,120.39,80.058,50.358,51.441,65.7,41.188,18.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disturbance_01,2,0.25045,2705.0,75.405,120.42,80.131,50.406,49.126,65.717,41.29,18.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disturbance_01,3,0.25056,2705.9,75.397,120.41,80.215,49.4,49.842,65.76,40.997,17.771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disturbance_01,4,0.28659,2704.3,74.749,120.39,79.977,48.906,49.586,65.749,41.29,19.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disturbance_01,5,0.28583,2704.6,75.749,120.41,80.05,50.461,49.253,65.721,41.801,18.979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disturbance_01,6,0.22711,2704.8,75.744,120.41,80.158,49.124,50.515,65.737,41.208,17.532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disturbance_01,7,0.22718,2705.0,75.223,120.41,80.251,50.408,48.339,65.748,41.815,17.644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disturbance_01,8,0.31198,2706.7,74.966,120.38,80.357,50.196,51.265,65.781,41.13,16.885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disturbance_01,9,0.31262,2706.1,74.822,120.42,80.283,50.459,47.825,65.829,41.478,19.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
